How good are the ratings for the Sonic Drive-in?,stars
How popular is Dairy Queen here?,stars
How good are the Red Robin Gourmet Burgers?,stars
What is your overall impression of Dynamite Grill?,stars
How was the food at the restaurant?,stars
How was the service of Tommy Hilfiger?,stars
How does the place smell?,stars
What is the vibe of the place?,stars
How well groomed are the waiters?,stars
How is the environment of the place?,stars
How well organised was everything?,stars
How was the quality of the food?,stars
Was the quality of the food good?,yn
Was the environment of the place nice?,yn
Is the service of Tommy Hilfiger better than Dynamite grill?,yn
Does this restaurant serve good food?,yn
Where can I find a person 's address from a telephone number ?,addr
What is the web address of the list of e-mail addresses of members of the House of Representatives ?,addr
What is the address for the main government office in Rome,addr
What is the address of the famous Mexican star `` Thalia '' ?,addr
What is the street address of the White House ?,addr
Where can I buy a good snowboard for less than $200 ?,addr
Where can I buy movies on videotape,addr
Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,addr
Where can I find a tape or book to help me say,addr
Where can I buy a pony on the Big Island for my daughter ?,addr
Where is Mozambique located ?,addr
Where is the Rose Bowl played ?,addr
Where is the Savannah River ?,addr
Where is the Eiffel Tower ?,addr
Where is the Little League Museum ?,addr
Where is the Mason/Dixon line ?,addr
Where is the tallest roller coaster located ?,addr
Where is the world 's most active volcano located ?,addr
Where is Ayer 's rock ?,addr
Where is South Bend ?,addr
Where is John Wayne airport ?,addr
Where is the Orinoco River ?,addr
Where is Milan ?,addr
Where is the Mall of the America ?,addr
Where is Prince Edward Island ?,addr
Where is Perth ?,addr
Where is the Holland Tunnel ?,addr
Where is the volcano Mauna Loa ?,addr
Where is the Shawnee National Forest ?,addr
Where is the Lourve ?,addr
Where is the Euphrates River ?,addr
Where is the volcano Olympus Mons located ?,addr
Where is the Grand Canyon ?,addr
Where is the Thomas Edison Museum ?,addr
Where is the official `` zero '' of the sea level ?,addr
Where is the oldest living thing on earth ?,addr
Where is the massive North Korean nuclear complex located ?,addr
Where is Microsoft 's corporate headquarters located ?,addr
Where is McCarren Airport ?,addr
Where is McCarren Airport located ?,addr
Where is the largest post office building in the world ?,addr
Where is the Taj Mahal ?,addr
What is the quality of of room service?,stars
What are the places to shop on the Strip?,name
What is the best hiking place in Vegas?,name
Where can I find grocery items?,name
Will I get sushi at Town Square?,yn
How good is The Great Canyon?,stars
How expensive is this restaurant?,stars
What can we do to entertain children in Las Vegas?,name
When is The Peacemakers Firearms open?,hours
When is the The Peacemakers Firearms open on Monday?,hours
Is The Peacemakers Firearms open at 6?,yn
Till when can I shop at Genx Clothing?,hours
Is Genx Clothing a good shopping place for women?,yn
What time is Freedom Medical Supply open?,hours
How is the quality of room service?,stars
Is the quality of room service nice?,yn
Is the room service quick?,yn
On average how long time does it take to type a screenplay ?,hours
When is the Tulip Festival in Michigan ?,hours
When is the site www.questions.com going to open ?,hours
When is Bastille Day ?,hours
When is Father 's Day ?,hours
Is beer available here?,yn
Is this place gluten-free?,yn
Does this place have parking?,yn
Does this place have outdoor seating?,yn
Does this place have chinese food?,yn
Is this place open after 9 pm?,hours
Are kids allowed here?,yn
How late is Halloween Town open?,hours
How early does Einstein Bros Bagels open for breakfast?,hours
What time can I go to Rose Threading?,hours
When is the Sacred Feather open?,hours
What are the open hours for The Kitchen Gallery?,hours
Does Cinnaholic offer vegan food?,yn
Does Raku serve seafood?,yn
Does this place have wifi?,yn
Do I need to take an appointment?,yn
Is this place too noisy?,yn
